coenti;damesano;plajustado;margem;pl;AjustesContabeis;AjustesEconomicos;NovoPla;CMR
10413;201104;27986117,29;0;27986249,29;-132;0;0;0
10847;201104;7789232,56;0;7798506,64;-9274,08000000007;0;0;0
31623;201104;2092464737,28;0;2110108894,28;-17644157;0;0;0
33294;201104;92473974,02;0;92545195,23;-71221,2100000083;0;0;0
01414;201105;30446068,19;0;30853522,28;-407454,09;0;0;0
01627;201105;53568768,38;0;53805186,12;-236417,740000002;0;0;0
03671;201105;19884726,22;0;20171511,04;-286784,82;0;0;0
05142;201105;292530864,37;0;586079060,99;-293548196,62;0;0;0
05185;201105;430330027,14;0;480179128,65;-49849101,51;0;0;0
05193;201105;2170337,05;0;41565317,75;-39394980,7;0;0;0
05274;201105;78620238,61;0;79216470,52;-596231,909999996;0;0;0
05401;201105;15026324,04;0;18500110;-3473785,96;0;0;0
05657;201105;6476125,27;0;6624998,6;-148873,33;0;0;0
05886;201105;1009002797,23;0;1502666019,35;-493663222,12;0;0;0
06335;201105;21086118,95;0;22263262,06;-1177143,11;0;0;0
06513;201105;147905974,27;0;149827994,79;-1922020,51999998;0;0;0
06688;201105;209313963,67;0;211417392,64;-2103428,97;0;0;0
06793;201105;7804438,16;0;9544593,56;-1740155,4;0;0;0
06912;201105;21841805,28;0;22019072,75;-177267,469999999;0;0;0
10031;201105;31815748,63;0;31880393,03;-64644,4000000022;0;0;0
10987;201105;11514195,87;0;16028203,34;-4514007,47;0;0;0
11070;201105;0;0;0;0;0;0;0
24813;201105;3199949,11;0;3262292,08;-62342,9700000002;0;0;0
26158;201105;445141348,25;0;446286958,78;-1145610,52999997;0;0;0
31623;201105;2083735657,07;0;2101923345,71;-18187688,6400001;0;0;0
02721;201106;21027262,68;0;21027262,68;0;0;0;0
05002;201106;45929921,19;0;57184504,58;-11254583,39;0;0;0
05118;201106;866870841,97;0;2105749021,75;-1238878179,78;0;0;0
05151;201106;150269746,09;0;168769346,31;-18499600,22;0;0;0
05193;201106;1877275,45;0;41257622,11;-39380346,66;0;0;0
05401;201106;16318141,2;0;19714426,52;-3396285,32;0;0;0
05941;201106;40558404,21;0;53902508,44;-13344104,23;0;0;0
06131;201106;20155163,65;0;20710893,57;-555729,920000002;0;0;0
06921;201106;16283192,15;0;29390852,39;-13107660,24;0;0;0
06955;201106;101969501,21;0;883281369,07;-781311867,86;0;0;0
10413;201106;28917318,67;0;28917442,67;-124;0;0;0
10898;201106;13262086,27;0;15839231,49;-2577145,22;0;0;0
05274;200308;26717916,65;0;34170699,99;-7452783,34;0;0;0
05533;200308;9084380;0;9084380;0;0;0;0
05886;200308;529321321,82;0;667245831,3;-137924509,48;0;0;0
05967;200308;8682752,34;0;8682752,34;0;0;0;0
06351;200308;11690499,07;0;39387377,3;-27696878,23;0;0;0
06416;200308;91183487,62;0;93010271,88;-1826784,25999999;0;0;0
06491;200308;13161437,38;0;17697224,08;-4535786,7;0;0;0
06530;200308;10227629,9;0;10283624,12;-55994,2199999988;0;0;0
06602;200308;34581845,91;0;36685453,86;-2103607,95;0;0;0
06807;200308;1707599,96;0;1709325,23;-1725,27000000002;0;0;0
06939;200308;17261582,14;0;17283920,55;-22338,4100000001;0;0;0
10413;200308;0;0;0;0;0;0;0
10596;200308;0;0;0;0;0;0;0
06211;200308;3082827,9;0;3301766,59;-218938,69;0;0;0
06271;200308;20870167,98;0;20870167,98;0;0;0;0
06301;200308;11821809,77;0;13433879,62;-1612069,85;0;0;0
06572;200308;62260350,64;0;71822029,1;-9561678,45999999;0;0;0
06611;200308;241742516,46;0;246212107,62;-4469591,16;0;0;0
06688;200308;130777035,74;0;156903573,27;-26126537,53;0;0;0
06971;200308;3893668,5;0;45974461,84;-42080793,34;0;0;0
06998;200308;7310943,69;0;7781962,76;-471019,069999999;0;0;0
10031;200308;0;0;0;0;0;0;0
10405;200308;0;0;0;0;0;0;0
10707;200308;0;0;0;0;0;0;0
10987;200308;0;0;0;0;0;0;0
22268;200308;4689614,63;0;4689614,63;0;0;0;0
05533;200309;9175592;0;9175592;0;0;0;0
05657;200309;1381863,72;0;1394070,09;-12206,3700000001;0;0;0
05690;200309;1863572,98;0;1868376,57;-4803,59000000008;0;0;0
05886;200309;502823253,86;0;650875278,51;-148052024,65;0;0;0
05967;200309;8746141,78;0;8746141,78;0;0;0;0
06351;200309;31763014,9;0;40893778,31;-9130763,41;0;0;0
06530;200309;10298111,27;0;10337225,61;-39114,3399999999;0;0;0
06653;200309;38652444,01;0;46831143,69;-8178699,68;0;0;0
06751;200309;78256297,38;0;81930132,77;-3673835,39;0;0;0
06777;200309;6882372,11;0;7262165,81;-379793,699999999;0;0;0
06955;200309;301667772,97;0;569737192,43;-268069419,46;0;0;0
10103;200309;0;0;0;0;0;0;0
10901;200309;0;0;0;0;0;0;0
21661;200309;251423074,93;0;510033907,21;-258610832,28;0;0;0
05053;200310;26124516,67;0;26668815,78;-544299,109999999;0;0;0
05401;200310;8781755,97;0;9333621,96;-551865,99;0;0;0
05495;200310;61166728,2;0;81981349,98;-20814621,78;0;0;0
05754;200310;11166055,61;0;11272838,65;-106783,040000001;0;0;0
06009;200310;145728226,82;0;212132334,29;-66404107,47;0;0;0
06041;200310;62324130,35;0;62442302,7;-118172,350000001;0;0;0
06157;200310;8521070,2;0;8522070,2;-1000;0;0;0
06491;200310;17464502,63;0;18161221,88;-696719,25;0;0;0
06611;200310;251711725,98;0;255228286,02;-3516560,04000002;0;0;0
06751;200310;80733248,06;0;84404592,38;-3671344,31999999;0;0;0
06785;200310;204881321,82;0;213648782,92;-8767461,09999999;0;0;0
06858;200310;17260749;0;22967141;-5706392;0;0;0
06921;200310;58277583,91;0;89920772,99;-31643189,08;0;0;0
09938;200310;77957763,56;0;77957763,56;0;0;0;0
10081;200310;372444,99;0;372444,99;0;0;0;0
10405;200310;0;0;0;0;0;0;0
10898;200310;0;0;0;0;0;0;0
10901;200310;0;0;0;0;0;0;0
11134;200310;0;0;0;0;0;0;0
21318;200310;13728580,03;0;13819480,37;-90900,3399999999;0;0;0
05142;200311;66526824,88;0;202181064,87;-135654239,99;0;0;0
05819;200311;4475786,42;0;5087084,55;-611298,13;0;0;0
06068;200311;15223540,57;0;24511391,82;-9287851,25;0;0;0
06394;200311;53882231;0;53912742,14;-30511,1400000006;0;0;0
06769;200311;8721199,66;0;13533835,34;-4812635,68;0;0;0
08141;200311;25295731;0;27965284;-2669553;0;0;0
10014;200311;0;0;0;0;0;0;0
10120;200311;0;0;0;0;0;0;0
